Question,LLM Answer,SelfCheck Score,RAG Score,KG Score,Final Score,Detected,Corrected Answer,True Label
Who discovered gravity?,"Question: Who discovered gravity?
Answer: The theory of relativity.
It is a theory of the laws of motion, of the laws of gravity, of the laws of motion in the light of all the known principles of the universe.
It is a theory of the laws of physics,",0.6350544393062592,0.6429235339164734,0,0.5836735218763351,False,Albert Einstein developed the theory of relativity.,1
Who discovered penicillin?,"Question: Who discovered penicillin?
Answer: The bacteria responsible for producing penicillin in bacteria called Streptococcus pneumoniae (SPS) are present in several American cities. Penicillin is often found in red clothing that is used to treat certain conditions, such as psoriasis",0.629629522562027,0.48351261019706726,0,0.6564934208989144,True,Alexander Fleming discovered penicillin in 1928.,1
Who discovered oxygen?,"Question: Who discovered oxygen?
Answer: The first answer is Karl Marx. He discovered that humans can breathe air through their nose. He also discovered that oxygen was not necessary for the life of the animals.
Karl Marx's second answer was to make sure that the living organisms did not die",0.6303043961524963,0.5079326629638672,0,0.6453694224357605,False,Antoine Lavoisier discovered oxygen.,1
Who discovered the electron?,"Question: Who discovered the electron?
Answer: The particle was discovered in 1948 by C. A. L. L. from the field of particle physics at the University of Chicago. He was a scientist at the University of Chicago at the time. His experiments included a study in which he looked up",0.6127720177173615,0.6313419938087463,0,0.5933416992425918,False,J.J. Thomson discovered the electron.,1
Who discovered radioactivity?,"Question: Who discovered radioactivity?
Answer: In the early 1970s, the radioactivity of a certain type of rock from the Rock Creek Formation was discovered and reported in a series of papers by Paul S. Anderson, Jr. (see ""Radioactivity Found in a New and Very Different Rock",0.6172843873500824,0.5454350709915161,0,0.6310973405838013,False,Henri Becquerel discovered radioactivity.,1
Who discovered X-rays?,"Question: Who discovered X-rays?
Answer: The earliest X-rays were found in the laboratory, at the National Institute of Standards and Technology in Bethesda, Maryland. In 1955, a team of scientists from the National Institute of Standards and Technology (NIST) began studying the X-rays they",0.5972841084003448,0.5974420309066772,0,0.6116942644119263,False,Wilhelm Röntgen discovered X-rays.,1
Who discovered insulin?,"Question: Who discovered insulin?
Answer: A team of researchers from Iowa State University, at the University of Pennsylvania, and the University of Texas at Dallas examined blood glucose levels in healthy volunteers who had been receiving insulin for 30 days. They found insulin levels were remarkably stable across the study period,",0.6843724548816681,0.5128413438796997,0,0.6323469042778015,False,Frederick Banting discovered insulin.,1
Who discovered Neptune?,"Question: Who discovered Neptune?
Answer:
The following answers are from the official site of the Neptune Project:
The Sun is the brightest star in the constellation of Pisces. It is about 30 times the mass of Earth, and about 50 times the speed of light.
The Sun",0.6907014548778534,0.5450363755226135,0,0.6165933400392531,False,Johann Galle discovered Neptune.,0
Who discovered Uranus?,"Question: Who discovered Uranus?
Answer: The Greek name for Uranus was S-E-T-S-S-S-E, and the Latin name for Uranus is S-A-E-S-S-E, but he was the same name as a name",0.758990615606308,0.5217868685722351,0,0.6133977860212325,False,William Herschel discovered Uranus.,0
Who discovered the structure of DNA?,"Question: Who discovered the structure of DNA?
Answer: He described it as having an ""uniform, irregular shape"" and that it contained ""a number of different substances"" that had ""no clear chemical properties, except for the presence of DNA on them."" He said that the structure of the DNA was",0.6411929395463731,0.5151028633117676,0,0.63996512360043,False,James Watson and Francis Crick discovered the structure of DNA.,1
